"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"130","Alta Floresta",1,0,0,1,100
"131","Aripuana",1,0,0,1,100
"132","Caceres",1,0,1,2,100
"133","Campo Novo do Parecis",1,0,0,1,100
"134","Canarana",1,0,0,1,100
"135","Cuiaba",58,0,0,58,100
"136","Lambari do Oeste",1,0,0,1,100
"137","Lucas do Rio Verde",0,0,1,1,100
"138","Nova Monte Verde",1,0,0,1,100
"139","Nova Mutum",1,0,0,1,100
"140","Primavera do Leste",1,0,0,1,100
"141","Rondonopolis",11,0,0,11,100
"142","Sao Jose dos Quatro Marcos",2,0,0,2,100
"143","Sinop",11,0,0,11,100
"144","Tangara da Serra",5,0,0,5,100
"145","Uniao do Sul",1,0,0,1,100
"146","Varzea Grande",6,0,0,6,100
"147","Alta Floresta",1,0,0,1,101
"148","Aripuana",2,0,0,2,101
"149","Caceres",1,0,1,2,101
"150","Campo Novo do Parecis",1,0,0,1,101
"151","Canarana",1,0,0,1,101
"152","Cuiaba",60,0,0,60,101
"153","Lambari do Oeste",1,0,0,1,101
"154","Lucas do Rio Verde",0,0,1,1,101
"155","Nova Monte Verde",1,0,0,1,101
"156","Nova Mutum",1,0,0,1,101
"157","Primavera do Leste",1,0,0,1,101
"158","Rondonopolis",12,0,0,12,101
"159","Sao Jose dos Quatro Marcos",2,0,0,2,101
"160","Sinop",11,0,0,11,101
"161","Tangara da Serra",5,0,0,5,101
"162","Uniao do Sul",1,0,0,1,101
"163","Varzea Grande",6,0,0,6,101
"164","Alta Floresta",1,0,0,1,102
"165","Aripuana",2,0,0,2,102
"166","Caceres",1,0,1,2,102
"167","Campo Novo do Parecis",1,0,0,1,102
"168","Canarana",1,0,0,1,102
"169","Cuiaba",64,0,0,64,102
"170","Lambari do Oeste",1,0,0,1,102
"171","Lucas do Rio Verde",0,0,1,1,102
"172","Nova Monte Verde",1,0,0,1,102
"173","Nova Mutum",1,0,0,1,102
"174","Primavera do Leste",1,0,0,1,102
"175","Rondonopolis",17,0,0,17,102
"176","Sao Jose dos Quatro Marcos",2,0,0,2,102
"177","Sinop",11,0,0,11,102
"178","Tangara da Serra",5,0,0,5,102
"179","Uniao do Sul",1,0,0,1,102
"180","Varzea Grande",6,0,0,6,102
"181","Alta Floresta",1,0,0,1,103
"182","Aripuana",2,0,0,2,103
"183","Caceres",1,0,1,2,103
"184","Campo Novo do Parecis",1,0,0,1,103
"185","Canarana",1,0,0,1,103
"186","Cuiaba",64,0,0,64,103
"187","Lambari do Oeste",1,0,0,1,103
"188","Lucas do Rio Verde",0,0,1,1,103
"189","Nova Monte Verde",1,0,0,1,103
"190","Nova Mutum",1,0,0,1,103
"191","Primavera do Leste",1,0,0,1,103
"192","Rondonopolis",19,0,0,19,103
"193","Sao Jose dos Quatro Marcos",2,0,0,2,103
"194","Sinop",11,0,0,11,103
"195","Tangara da Serra",5,0,0,5,103
"196","Uniao do Sul",1,0,0,1,103
"197","Varzea Grande",6,0,0,6,103
"198","Alta Floresta",1,0,0,1,104
"199","Aripuana",2,0,0,2,104
"200","Caceres",1,0,1,2,104
"201","Campo Novo do Parecis",1,0,0,1,104
"202","Canarana",1,0,0,1,104
"203","Cuiaba",72,0,0,72,104
"204","Lambari do Oeste",1,0,0,1,104
"205","Lucas do Rio Verde",0,0,1,1,104
"206","Nova Monte Verde",1,0,0,1,104
"207","Nova Mutum",1,0,0,1,104
"208","Primavera do Leste",1,0,0,1,104
"209","Rondonopolis",21,0,1,22,104
"210","Sao Jose dos Quatro Marcos",2,0,0,2,104
"211","Sinop",11,0,0,11,104
"212","Tangara da Serra",5,0,0,5,104
"213","Uniao do Sul",1,0,0,1,104
"214","Varzea Grande",6,0,0,6,104
"215","Alta Floresta",1,0,0,1,105
"216","Aripuana",0,1,1,2,105
"217","Caceres",1,0,1,2,105
"218","Campo Novo do Parecis",1,0,0,1,105
"219","Canarana",1,0,0,1,105
"220","Cuiaba",48,27,0,75,105
"221","Lambari do Oeste",1,0,0,1,105
"222","Lucas do Rio Verde",0,0,1,1,105
"223","Nova Monte Verde",0,1,0,1,105
"224","Nova Mutum",1,0,0,1,105
"225","Primavera do Leste",1,0,0,1,105
"226","Rondonopolis",21,0,1,22,105
"227","Sao Jose dos Quatro Marcos",2,0,0,2,105
