"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"1647","Alto Paraguai",1,0,0,1,143
"1648","Aripuana",3,1,1,5,143
"1649","Barra do Garcas",45,13,3,61,143
"1650","Bom Jesus do Araguaia",2,0,0,2,143
"1651","Caceres",7,9,3,19,143
"1652","Campo Novo do Parecis",2,1,0,3,143
"1653","Campo Verde",7,0,0,7,143
"1654","Campos de Julio",1,0,0,1,143
"1655","Canarana",0,2,0,2,143
"1656","Chapada dos Guimaraes",5,1,1,7,143
"1657","Colider",1,0,0,1,143
"1658","Confresa",19,9,0,28,143
"1659","Conquista do Oeste",2,1,0,3,143
"1660","Cotriguacu",2,0,0,2,143
"1661","Cuiaba",234,161,5,400,143
"1662","Curvelandia",0,3,1,4,143
"1663","Dom Aquino",2,0,0,2,143
"1664","Guaranta do Norte",4,0,0,4,143
"1665","Ipiranga do Norte",0,3,0,3,143
"1666","Jaciara",12,12,0,24,143
"1667","Jangada",7,0,0,7,143
"1668","Jauru",1,0,0,1,143
"1669","Juina",4,0,1,5,143
"1670","Juscimeira",2,0,0,2,143
"1671","Lambari do Oeste",0,1,0,1,143
"1672","Lucas do Rio Verde",29,11,2,42,143
"1673","Luciara",1,0,0,1,143
"1674","Matupa",4,0,0,4,143
"1675","Mirassol do Oeste",2,7,1,10,143
"1676","Nobres",0,1,0,1,143
"1677","Nossa Senhora do Livramento",2,1,0,3,143
"1678","Nova Lacerda",2,1,0,3,143
"1679","Nova Monte Verde",0,1,0,1,143
"1680","Nova Mutum",7,10,1,18,143
"1681","Nova Olimpia",1,0,0,1,143
"1682","Nova Ubirata",5,0,0,5,143
"1683","Nova Xavantina",1,0,0,1,143
"1684","Novo Mundo",1,0,0,1,143
"1685","Pedra Preta",1,0,0,1,143
"1686","Peixoto de Azevedo",7,14,0,21,143
"1687","Pocone",1,2,0,3,143
"1688","Pontal do Araguaia",3,1,0,4,143
"1689","Ponte Branca",0,0,1,1,143
"1690","Pontes e Lacerda",16,1,0,17,143
"1691","Porto Alegre do Norte",1,0,0,1,143
"1692","Poxoreu",1,1,0,2,143
"1693","Primavera do Leste",46,10,0,56,143
"1694","Querencia",11,3,1,15,143
"1695","Ribeirao Cascalheira",2,0,0,2,143
"1696","Rio Branco",1,2,0,3,143
"1697","Rondolandia",0,2,0,2,143
"1698","Rondonopolis",54,46,3,103,143
"1699","Rosario Oeste",23,8,0,31,143
"1700","Santa Rita do Trivelato",1,0,0,1,143
"1701","Santo Antonio do Leverger",0,1,0,1,143
"1702","Sao Felix do Araguaia",1,0,0,1,143
"1703","Sao Jose do Povo",1,0,0,1,143
"1704","Sao Jose do Xingu",1,0,0,1,143
"1705","Sao Jose dos Quatro Marcos",1,5,0,6,143
"1706","Sao Pedro da Cipa",3,2,1,6,143
"1707","Sapezal",5,0,0,5,143
"1708","Sinop",14,18,2,34,143
"1709","Sorriso",22,12,0,34,143
"1710","Tangara da Serra",26,22,0,48,143
"1711","Tapurah",9,0,0,9,143
"1712","Terra Nova do Norte",1,0,0,1,143
"1713","Uniao do Sul",0,1,0,1,143
"1714","Vale de Sao Domingos",0,1,1,2,143
"1715","Varzea Grande",77,30,6,113,143
"1716","Vila Bela da Santissima Trindade",2,0,0,2,143
"1717","Vila Rica",6,0,0,6,143
"1718","Acorizal",3,0,0,3,144
"1719","Agua Boa",1,2,0,3,144
"1720","Alta Floresta",7,6,0,13,144
"1721","Alto Araguaia",5,2,0,7,144
"1722","Alto Boa Vista",0,0,1,1,144
"1723","Alto Garcas",1,0,0,1,144
"1724","Alto Paraguai",1,0,0,1,144
"1725","Aripuana",5,1,1,7,144
"1726","Barra do Garcas",46,13,3,62,144
"1727","Bom Jesus do Araguaia",2,0,0,2,144
"1728","Caceres",7,9,3,19,144
"1729","Campo Novo do Parecis",6,1,0,7,144
"1730","Campo Verde",8,0,0,8,144
"1731","Campos de Julio",1,0,0,1,144
"1732","Canarana",0,2,0,2,144
"1733","Chapada dos Guimaraes",5,1,1,7,144
"1734","Colider",2,0,0,2,144
"1735","Confresa",26,9,0,35,144
"1736","Conquista do Oeste",2,1,0,3,144
"1737","Cotriguacu",2,0,0,2,144
"1738","Cuiaba",258,162,5,425,144
"1739","Curvelandia",0,3,1,4,144
"1740","Dom Aquino",2,0,0,2,144
"1741","Guaranta do Norte",4,0,0,4,144
"1742","Ipiranga do Norte",0,3,0,3,144
"1743","Jaciara",13,12,0,25,144
"1744","Jangada",7,0,0,7,144
"1745","Jauru",2,0,0,2,144
"1746","Juara",1,0,0,1,144
"1747","Juina",4,0,1,5,144
"1748","Juscimeira",0,2,0,2,144
"1749","Lambari do Oeste",0,1,0,1,144
"1750","Lucas do Rio Verde",33,11,2,46,144
"1751","Luciara",1,0,0,1,144
"1752","Matupa",4,0,0,4,144
"1753","Mirassol do Oeste",2,7,1,10,144
"1754","Nobres",0,1,0,1,144
"1755","Nossa Senhora do Livramento",2,1,0,3,144
"1756","Nova Lacerda",2,1,0,3,144
"1757","Nova Monte Verde",0,1,0,1,144
"1758","Nova Mutum",7,10,1,18,144
"1759","Nova Olimpia",1,0,0,1,144
"1760","Nova Ubirata",5,0,0,5,144
"1761","Nova Xavantina",1,0,0,1,144
"1762","Novo Mundo",1,0,0,1,144
"1763","Pedra Preta",2,0,0,2,144
"1764","Peixoto de Azevedo",7,14,0,21,144
"1765","Pocone",1,2,0,3,144
"1766","Pontal do Araguaia",4,1,0,5,144
"1767","Ponte Branca",0,0,1,1,144
"1768","Pontes e Lacerda",16,1,0,17,144
"1769","Porto Alegre do Norte",1,0,0,1,144
"1770","Poxoreu",0,2,0,2,144
"1771","Primavera do Leste",53,10,0,63,144
"1772","Querencia",11,3,1,15,144
"1773","Ribeirao Cascalheira",4,0,0,4,144
"1774","Rio Branco",1,2,0,3,144
"1775","Rondolandia",0,2,0,2,144
"1776","Rondonopolis",58,46,3,107,144
"1777","Rosario Oeste",25,8,0,33,144
"1778","Santa Rita do Trivelato",1,0,0,1,144
"1779","Santo Antonio do Leverger",1,1,0,2,144
"1780","Sao Felix do Araguaia",1,0,0,1,144
"1781","Sao Jose do Povo",1,0,0,1,144
"1782","Sao Jose do Xingu",1,0,0,1,144
"1783","Sao Jose dos Quatro Marcos",1,5,0,6,144
"1784","Sao Pedro da Cipa",3,2,1,6,144
"1785","Sapezal",5,0,0,5,144
"1786","Sinop",14,18,2,34,144
"1787","Sorriso",22,12,0,34,144
"1788","Tangara da Serra",37,23,0,60,144
"1789","Tapurah",9,0,0,9,144
"1790","Terra Nova do Norte",1,0,0,1,144
"1791","Uniao do Sul",0,1,0,1,144
"1792","Vale de Sao Domingos",0,1,1,2,144
"1793","Varzea Grande",84,30,6,120,144
"1794","Vila Bela da Santissima Trindade",2,0,0,2,144
"1795","Vila Rica",7,0,0,7,144
"1796","Acorizal",4,0,0,4,145
"1797","Agua Boa",1,2,0,3,145
"1798","Alta Floresta",10,6,0,16,145
"1799","Alto Araguaia",5,2,0,7,145
"1800","Alto Boa Vista",0,0,1,1,145
"1801","Alto Garcas",1,0,0,1,145
"1802","Alto Paraguai",1,0,0,1,145
"1803","Aripuana",5,1,1,7,145
"1804","Barra do Garcas",49,13,3,65,145
"1805","Bom Jesus do Araguaia",2,0,0,2,145
"1806","Caceres",7,9,3,19,145
"1807","Campo Novo do Parecis",6,1,0,7,145
"1808","Campo Verde",9,0,0,9,145
"1809","Campos de Julio",1,0,0,1,145
"1810","Canarana",0,2,0,2,145
"1811","Chapada dos Guimaraes",6,2,1,9,145
"1812","Colider",2,0,0,2,145
"1813","Confresa",26,9,0,35,145
"1814","Conquista do Oeste",2,1,0,3,145
"1815","Cotriguacu",1,0,1,2,145
"1816","Cuiaba",319,163,7,489,145
"1817","Curvelandia",0,3,1,4,145
"1818","Dom Aquino",2,0,0,2,145
"1819","Guaranta do Norte",4,0,0,4,145
"1820","Ipiranga do Norte",0,3,0,3,145
"1821","Jaciara",13,12,0,25,145
"1822","Jangada",7,0,0,7,145
"1823","Jauru",2,0,0,2,145
"1824","Juara",1,0,0,1,145
"1825","Juina",4,0,1,5,145
"1826","Juscimeira",0,2,0,2,145
"1827","Lambari do Oeste",0,1,0,1,145
"1828","Lucas do Rio Verde",33,11,2,46,145
"1829","Luciara",1,0,0,1,145
"1830","Matupa",4,0,0,4,145
"1831","Mirassol do Oeste",2,7,1,10,145
"1832","Nobres",0,1,0,1,145
"1833","Nossa Senhora do Livramento",2,1,0,3,145
"1834","Nova Lacerda",2,1,0,3,145
"1835","Nova Monte Verde",0,1,0,1,145
"1836","Nova Mutum",7,10,1,18,145
"1837","Nova Olimpia",1,0,0,1,145
"1838","Nova Ubirata",5,0,0,5,145
"1839","Nova Xavantina",1,0,0,1,145
"1840","Novo Mundo",1,0,0,1,145
"1841","Pedra Preta",2,0,0,2,145
"1842","Peixoto de Azevedo",7,14,0,21,145
"1843","Pocone",1,2,0,3,145
"1844","Pontal do Araguaia",4,1,0,5,145
"1845","Ponte Branca",0,0,1,1,145
"1846","Pontes e Lacerda",16,1,0,17,145
"1847","Porto Alegre do Norte",1,0,0,1,145
"1848","Poxoreu",0,2,0,2,145
"1849","Primavera do Leste",61,10,0,71,145
"1850","Querencia",10,4,1,15,145
"1851","Ribeirao Cascalheira",4,0,0,4,145
"1852","Rio Branco",1,2,0,3,145
"1853","Rondolandia",0,2,0,2,145
"1854","Rondonopolis",63,46,3,112,145
"1855","Rosario Oeste",20,14,0,34,145
"1856","Santa Rita do Trivelato",1,0,0,1,145
"1857","Santo Antonio do Leverger",1,1,0,2,145
"1858","Sao Felix do Araguaia",1,0,0,1,145
"1859","Sao Jose do Povo",1,0,0,1,145
"1860","Sao Jose do Xingu",1,0,0,1,145
"1861","Sao Jose dos Quatro Marcos",1,5,0,6,145
"1862","Sao Pedro da Cipa",3,2,1,6,145
"1863","Sapezal",5,0,0,5,145
"1864","Sinop",14,18,2,34,145
"1865","Sorriso",25,12,0,37,145
"1866","Tangara da Serra",43,23,0,66,145
"1867","Tapurah",9,0,0,9,145
"1868","Terra Nova do Norte",1,0,0,1,145
"1869","Uniao do Sul",0,1,0,1,145
"1870","Vale de Sao Domingos",0,1,1,2,145
"1871","Varzea Grande",88,30,6,124,145
"1872","Vila Bela da Santissima Trindade",2,0,0,2,145
"1873","Vila Rica",7,0,0,7,145
"1874","Acorizal",4,0,0,4,146
"1875","Agua Boa",1,2,0,3,146
"1876","Alta Floresta",9,7,0,16,146
"1877","Alto Araguaia",5,2,0,7,146
"1878","Alto Boa Vista",0,0,1,1,146
"1879","Alto Garcas",1,0,0,1,146
"1880","Alto Paraguai",1,0,0,1,146
"1881","Aripuana",5,1,1,7,146
"1882","Barra do Garcas",50,13,3,66,146
"1883","Bom Jesus do Araguaia",2,0,0,2,146
"1884","Caceres",8,9,3,20,146
"1885","Campo Novo do Parecis",7,1,0,8,146
"1886","Campo Verde",10,0,0,10,146
"1887","Campos de Julio",1,0,0,1,146
"1888","Canarana",0,2,0,2,146
"1889","Chapada dos Guimaraes",7,2,1,10,146
"1890","Colider",3,0,0,3,146
"1891","Confresa",34,9,0,43,146
"1892","Conquista do Oeste",3,1,0,4,146
"1893","Cotriguacu",1,0,1,2,146
"1894","Cuiaba",343,168,7,518,146
"1895","Curvelandia",0,3,1,4,146
"1896","Dom Aquino",2,0,0,2,146
"1897","Guaranta do Norte",4,0,0,4,146
"1898","Ipiranga do Norte",0,3,0,3,146
"1899","Jaciara",17,13,0,30,146
"1900","Jangada",7,0,0,7,146
"1901","Jauru",2,0,0,2,146
"1902","Juara",1,0,0,1,146
"1903","Juina",5,0,1,6,146
"1904","Juscimeira",0,2,0,2,146
"1905","Lambari do Oeste",0,1,0,1,146
"1906","Lucas do Rio Verde",33,11,2,46,146
"1907","Luciara",1,0,0,1,146
"1908","Matupa",4,0,0,4,146
"1909","Mirassol do Oeste",2,7,1,10,146
"1910","Nobres",0,1,0,1,146
"1911","Nossa Senhora do Livramento",2,1,0,3,146
"1912","Nova Lacerda",3,1,0,4,146
"1913","Nova Monte Verde",0,1,0,1,146
"1914","Nova Mutum",8,10,1,19,146
"1915","Nova Olimpia",2,0,0,2,146
"1916","Nova Ubirata",5,0,0,5,146
"1917","Nova Xavantina",1,0,0,1,146
"1918","Novo Mundo",1,0,0,1,146
"1919","Pedra Preta",2,0,0,2,146
"1920","Peixoto de Azevedo",7,14,0,21,146
"1921","Pocone",1,2,0,3,146
"1922","Pontal do Araguaia",4,1,0,5,146
"1923","Ponte Branca",0,0,1,1,146
"1924","Pontes e Lacerda",16,1,1,18,146
"1925","Porto Alegre do Norte",2,0,0,2,146
"1926","Poxoreu",0,2,0,2,146
"1927","Primavera do Leste",67,10,0,77,146
"1928","Querencia",10,4,1,15,146
"1929","Ribeirao Cascalheira",5,0,0,5,146
"1930","Rio Branco",1,2,0,3,146
"1931","Rondolandia",0,2,0,2,146
"1932","Rondonopolis",80,47,3,130,146
"1933","Rosario Oeste",12,23,0,35,146
"1934","Santa Rita do Trivelato",1,0,0,1,146
"1935","Santo Antonio do Leverger",2,1,0,3,146
"1936","Sao Felix do Araguaia",1,0,0,1,146
"1937","Sao Jose do Povo",1,0,0,1,146
"1938","Sao Jose do Xingu",1,0,0,1,146
"1939","Sao Jose dos Quatro Marcos",1,5,0,6,146
"1940","Sao Pedro da Cipa",3,2,1,6,146
"1941","Sapezal",4,1,0,5,146
"1942","Sinop",14,18,2,34,146
"1943","Sorriso",25,12,0,37,146
"1944","Tangara da Serra",48,29,0,77,146
"1945","Tapurah",10,0,0,10,146
"1946","Terra Nova do Norte",1,0,0,1,146
"1947","Uniao do Sul",0,1,0,1,146
"1948","Vale de Sao Domingos",0,1,1,2,146
"1949","Varzea Grande",103,45,7,155,146
"1950","Vera",1,0,0,1,146
"1951","Vila Bela da Santissima Trindade",2,0,0,2,146
"1952","Vila Rica",7,0,0,7,146
"1953","Acorizal",4,0,0,4,147
"1954","Agua Boa",1,2,0,3,147
"1955","Alta Floresta",12,7,0,19,147
"1956","Alto Araguaia",7,2,0,9,147
"1957","Alto Boa Vista",0,0,1,1,147
"1958","Alto Garcas",0,1,0,1,147
"1959","Alto Paraguai",1,0,0,1,147
"1960","Aripuana",5,1,1,7,147
"1961","Barra do Garcas",43,21,3,67,147
"1962","Bom Jesus do Araguaia",2,0,0,2,147
"1963","Caceres",9,9,3,21,147
"1964","Campo Novo do Parecis",8,1,0,9,147
"1965","Campo Verde",15,0,0,15,147
"1966","Campos de Julio",0,1,0,1,147
"1967","Canarana",1,2,0,3,147
"1968","Chapada dos Guimaraes",6,3,1,10,147
"1969","Colider",3,0,0,3,147
"1970","Confresa",38,9,0,47,147
"1971","Conquista do Oeste",3,1,0,4,147
"1972","Cotriguacu",1,0,1,2,147
"1973","Cuiaba",382,174,7,563,147
"1974","Curvelandia",0,3,1,4,147
"1975","Dom Aquino",3,0,0,3,147
"1976","Guaranta do Norte",6,0,0,6,147
"1977","Ipiranga do Norte",0,3,0,3,147
"1978","Jaciara",14,16,0,30,147
"1979","Jangada",7,0,0,7,147
"1980","Jauru",2,0,0,2,147
"1981","Juara",1,0,1,2,147
"1982","Juina",5,0,1,6,147
"1983","Juscimeira",1,2,0,3,147
"1984","Lambari do Oeste",0,1,0,1,147
"1985","Lucas do Rio Verde",23,23,2,48,147
"1986","Luciara",1,0,0,1,147
"1987","Matupa",5,0,0,5,147
"1988","Mirassol do Oeste",2,7,1,10,147
"1989","Nobres",2,1,0,3,147
"1990","Nossa Senhora do Livramento",3,1,0,4,147
"1991","Nova Lacerda",3,1,0,4,147
"1992","Nova Monte Verde",0,1,0,1,147
"1993","Nova Mutum",7,13,1,21,147
"1994","Nova Olimpia",2,0,0,2,147
"1995","Nova Santa Helena",4,0,0,4,147
"1996","Nova Ubirata",5,0,0,5,147
"1997","Nova Xavantina",1,0,0,1,147
"1998","Novo Mundo",9,0,0,9,147
"1999","Pedra Preta",2,0,0,2,147
"2000","Peixoto de Azevedo",10,15,0,25,147
"2001","Pocone",1,2,0,3,147
"2002","Pontal do Araguaia",4,1,0,5,147
"2003","Ponte Branca",0,0,1,1,147
"2004","Pontes e Lacerda",11,7,1,19,147
"2005","Porto Alegre do Norte",2,0,0,2,147
"2006","Poxoreu",0,2,0,2,147
"2007","Primavera do Leste",65,16,0,81,147
"2008","Querencia",9,5,1,15,147
"2009","Ribeirao Cascalheira",5,0,0,5,147
"2010","Rio Branco",1,2,0,3,147
"2011","Rondolandia",0,2,0,2,147
"2012","Rondonopolis",85,48,3,136,147
"2013","Rosario Oeste",14,23,0,37,147
"2014","Santa Rita do Trivelato",1,0,0,1,147
"2015","Santo Antonio do Leverger",2,1,0,3,147
"2016","Sao Felix do Araguaia",1,0,0,1,147
"2017","Sao Jose do Povo",1,0,0,1,147
"2018","Sao Jose do Xingu",1,0,0,1,147
"2019","Sao Jose dos Quatro Marcos",2,5,0,7,147
"2020","Sao Pedro da Cipa",3,2,1,6,147
"2021","Sapezal",4,1,0,5,147
"2022","Sinop",14,20,2,36,147
"2023","Sorriso",18,23,0,41,147
"2024","Tangara da Serra",53,29,0,82,147
"2025","Tapurah",8,3,0,11,147
"2026","Terra Nova do Norte",1,0,0,1,147
"2027","Uniao do Sul",0,1,0,1,147
"2028","Vale de Sao Domingos",0,1,1,2,147
"2029","Varzea Grande",126,45,7,178,147
"2030","Vera",1,0,0,1,147
"2031","Vila Bela da Santissima Trindade",3,0,0,3,147
"2032","Vila Rica",11,0,0,11,147
"2033","Acorizal",9,0,0,9,148
"2034","Agua Boa",1,2,0,3,148
"2035","Alta Floresta",24,7,1,32,148
"2036","Alto Araguaia",7,2,1,10,148
"2037","Alto Boa Vista",0,0,1,1,148
"2038","Alto Garcas",0,1,0,1,148
"2039","Alto Paraguai",1,0,0,1,148
"2040","Aripuana",5,1,1,7,148
"2041","Barra do Garcas",43,21,3,67,148
"2042","Bom Jesus do Araguaia",2,0,0,2,148
"2043","Caceres",10,9,3,22,148
"2044","Campo Novo do Parecis",7,2,0,9,148
"2045","Campo Verde",22,0,0,22,148
"2046","Campos de Julio",0,1,0,1,148
"2047","Canarana",2,2,0,4,148
"2048","Chapada dos Guimaraes",5,4,1,10,148
"2049","Colider",3,0,0,3,148
"2050","Confresa",40,9,0,49,148
"2051","Conquista do Oeste",3,1,0,4,148
"2052","Cotriguacu",1,0,1,2,148
"2053","Cuiaba",412,192,8,612,148
"2054","Curvelandia",0,3,1,4,148
"2055","Denise",1,0,0,1,148
"2056","Dom Aquino",3,0,0,3,148
"2057","Guaranta do Norte",6,0,0,6,148
"2058","Guiratinga",1,0,0,1,148
"2059","Ipiranga do Norte",1,3,0,4,148
"2060","Jaciara",17,17,0,34,148
"2061","Jangada",9,0,0,9,148
"2062","Jauru",2,0,0,2,148
"2063","Juara",2,0,1,3,148
"2064","Juina",6,0,1,7,148
"2065","Juscimeira",1,2,0,3,148
"2066","Lambari do Oeste",0,1,0,1,148
"2067","Lucas do Rio Verde",34,23,2,59,148
"2068","Luciara",1,0,0,1,148
"2069","Matupa",5,0,0,5,148
"2070","Mirassol do Oeste",4,7,1,12,148
"2071","Nobres",2,1,0,3,148
"2072","Nossa Senhora do Livramento",3,1,0,4,148
"2073","Nova Guarita",3,0,0,3,148
"2074","Nova Lacerda",3,1,0,4,148
"2075","Nova Monte Verde",0,1,0,1,148
"2076","Nova Mutum",10,13,1,24,148
"2077","Nova Olimpia",1,1,0,2,148
"2078","Nova Santa Helena",4,0,0,4,148
"2079","Nova Ubirata",6,0,0,6,148
"2080","Nova Xavantina",1,0,0,1,148
"2081","Novo Mundo",9,0,0,9,148
"2082","Pedra Preta",4,0,0,4,148
"2083","Peixoto de Azevedo",10,15,0,25,148
"2084","Pocone",0,3,0,3,148
"2085","Pontal do Araguaia",4,1,0,5,148
"2086","Ponte Branca",0,0,1,1,148
"2087","Pontes e Lacerda",14,7,1,22,148
"2088","Porto Alegre do Norte",2,0,0,2,148
"2089","Poxoreu",0,2,0,2,148
"2090","Primavera do Leste",68,16,0,84,148
"2091","Querencia",9,5,1,15,148
"2092","Ribeirao Cascalheira",5,0,0,5,148
"2093","Rio Branco",1,2,0,3,148
"2094","Rondolandia",0,2,0,2,148
"2095","Rondonopolis",95,49,4,148,148
"2096","Rosario Oeste",15,23,0,38,148
"2097","Santa Rita do Trivelato",1,0,0,1,148
"2098","Santo Antonio do Leverger",2,1,0,3,148
"2099","Sao Felix do Araguaia",1,0,0,1,148
"2100","Sao Jose do Povo",1,0,0,1,148
"2101","Sao Jose do Xingu",1,0,0,1,148
"2102","Sao Jose dos Quatro Marcos",2,5,0,7,148
"2103","Sao Pedro da Cipa",4,2,1,7,148
"2104","Sapezal",7,1,0,8,148
"2105","Sinop",21,20,2,43,148
"2106","Sorriso",25,24,0,49,148
"2107","Tangara da Serra",45,39,0,84,148
"2108","Tapurah",8,3,0,11,148
"2109","Terra Nova do Norte",1,0,0,1,148
"2110","Uniao do Sul",0,1,0,1,148
"2111","Vale de Sao Domingos",0,1,1,2,148
"2112","Varzea Grande",140,45,7,192,148
"2113","Vera",1,0,0,1,148
"2114","Vila Bela da Santissima Trindade",3,0,0,3,148
"2115","Vila Rica",11,0,0,11,148
"2116","Acorizal",9,0,0,9,149
"2117","Agua Boa",1,2,0,3,149
"2118","Alta Floresta",27,7,2,36,149
"2119","Alto Araguaia",7,2,1,10,149
"2120","Alto Boa Vista",0,0,1,1,149
"2121","Alto Garcas",0,1,0,1,149
"2122","Alto Paraguai",1,0,0,1,149
"2123","Aripuana",4,3,1,8,149
"2124","Barra do Garcas",45,22,3,70,149
"2125","Bom Jesus do Araguaia",2,0,0,2,149
"2126","Caceres",13,9,3,25,149
"2127","Campo Novo do Parecis",11,2,0,13,149
"2128","Campo Verde",23,1,0,24,149
"2129","Campos de Julio",0,1,0,1,149
"2130","Canarana",2,2,0,4,149
"2131","Chapada dos Guimaraes",5,4,1,10,149
"2132","Colider",6,0,0,6,149
"2133","Confresa",55,9,0,64,149
"2134","Conquista do Oeste",3,1,0,4,149
"2135","Cotriguacu",2,1,1,4,149
"2136","Cuiaba",455,192,8,655,149
"2137","Curvelandia",0,3,1,4,149
"2138","Denise",1,0,0,1,149
"2139","Dom Aquino",3,0,0,3,149
"2140","Guaranta do Norte",4,2,0,6,149
"2141","Guiratinga",1,0,0,1,149
"2142","Ipiranga do Norte",1,3,0,4,149
"2143","Jaciara",18,18,0,36,149
"2144","Jangada",2,6,1,9,149
"2145","Jauru",1,0,1,2,149
"2146","Juara",2,0,1,3,149
"2147","Juina",3,3,1,7,149
"2148","Juscimeira",1,2,0,3,149
"2149","Lambari do Oeste",0,1,0,1,149
"2150","Lucas do Rio Verde",39,23,2,64,149
"2151","Luciara",1,0,0,1,149
"2152","Matupa",7,0,0,7,149
"2153","Mirassol do Oeste",5,7,1,13,149
"2154","Nobres",2,1,0,3,149
"2155","Nossa Senhora do Livramento",3,1,0,4,149
"2156","Nova Guarita",3,0,0,3,149
"2157","Nova Lacerda",3,1,0,4,149
"2158","Nova Monte Verde",0,1,0,1,149
"2159","Nova Mutum",13,13,1,27,149
"2160","Nova Olimpia",2,1,0,3,149
"2161","Nova Santa Helena",4,0,0,4,149
"2162","Nova Ubirata",15,0,0,15,149
"2163","Nova Xavantina",1,0,0,1,149
"2164","Novo Mundo",12,0,0,12,149
"2165","Paranaita",1,0,0,1,149
"2166","Pedra Preta",5,0,0,5,149
"2167","Peixoto de Azevedo",10,15,0,25,149
"2168","Pocone",0,3,0,3,149
"2169","Pontal do Araguaia",3,2,0,5,149
"2170","Ponte Branca",0,0,1,1,149
"2171","Pontes e Lacerda",19,7,1,27,149
"2172","Porto Alegre do Norte",2,0,0,2,149
"2173","Porto Esperidiao",2,0,0,2,149
"2174","Poxoreu",0,2,0,2,149
"2175","Primavera do Leste",73,16,0,89,149
"2176","Querencia",9,5,1,15,149
"2177","Ribeirao Cascalheira",5,0,0,5,149
"2178","Rio Branco",1,2,0,3,149
"2179","Rondolandia",0,2,0,2,149
"2180","Rondonopolis",108,49,5,162,149
"2181","Rosario Oeste",15,23,0,38,149
"2182","Santa Rita do Trivelato",1,0,0,1,149
"2183","Santo Antonio do Leverger",3,1,0,4,149
"2184","Sao Felix do Araguaia",1,0,0,1,149
"2185","Sao Jose do Povo",1,0,0,1,149
"2186","Sao Jose do Xingu",1,0,0,1,149
"2187","Sao Jose dos Quatro Marcos",2,5,0,7,149
"2188","Sao Pedro da Cipa",2,4,1,7,149
"2189","Sapezal",7,1,0,8,149
"2190","Sinop",23,20,2,45,149
"2191","Sorriso",35,24,0,59,149
"2192","Tangara da Serra",59,39,0,98,149
"2193","Tapurah",8,3,0,11,149
"2194","Terra Nova do Norte",1,0,0,1,149
"2195","Uniao do Sul",0,1,0,1,149
"2196","Vale de Sao Domingos",0,1,1,2,149
"2197","Varzea Grande",148,45,10,203,149
"2198","Vera",1,0,0,1,149
"2199","Vila Bela da Santissima Trindade",1,2,0,3,149
"2200","Vila Rica",12,0,0,12,149
"2201","Acorizal",9,0,0,9,150
"2202","Agua Boa",3,2,0,5,150
"2203","Alta Floresta",24,10,3,37,150
"2204","Alto Araguaia",7,2,1,10,150
"2205","Alto Boa Vista",2,0,1,3,150
"2206","Alto Garcas",0,1,0,1,150
"2207","Alto Paraguai",1,0,0,1,150
"2208","Arenapolis",1,0,0,1,150
"2209","Aripuana",7,3,1,11,150
"2210","Barra do Garcas",46,23,3,72,150
"2211","Bom Jesus do Araguaia",2,2,0,4,150
"2212","Caceres",14,13,3,30,150
"2213","Campo Novo do Parecis",11,2,0,13,150
"2214","Campo Verde",31,1,0,32,150
"2215","Campos de Julio",0,1,0,1,150
"2216","Canarana",5,2,0,7,150
"2217","Chapada dos Guimaraes",7,4,1,12,150
"2218","Colider",7,0,0,7,150
"2219","Comodoro",2,0,0,2,150
"2220","Confresa",55,16,0,71,150
"2221","Conquista do Oeste",3,1,0,4,150
"2222","Cotriguacu",2,1,1,4,150
"2223","Cuiaba",490,193,9,692,150
"2224","Curvelandia",0,3,1,4,150
"2225","Denise",1,0,0,1,150
"2226","Dom Aquino",4,0,0,4,150
"2227","Guaranta do Norte",10,2,0,12,150
"2228","Guiratinga",1,0,0,1,150
"2229","Ipiranga do Norte",2,3,0,5,150
"2230","Itanhanga",1,0,0,1,150
"2231","Jaciara",14,23,0,37,150
"2232","Jangada",2,6,1,9,150
"2233","Jauru",1,0,1,2,150
"2234","Juara",2,0,1,3,150
"2235","Juina",3,3,1,7,150
"2236","Juscimeira",1,2,0,3,150
"2237","Lambari do Oeste",0,1,0,1,150
"2238","Lucas do Rio Verde",43,29,2,74,150
"2239","Luciara",1,0,0,1,150
"2240","Matupa",7,0,0,7,150
"2241","Mirassol do Oeste",5,7,1,13,150
"2242","Nobres",2,1,0,3,150
"2243","Nossa Senhora do Livramento",5,1,0,6,150
"2244","Nova Guarita",3,0,0,3,150
"2245","Nova Lacerda",3,1,0,4,150
"2246","Nova Monte Verde",0,1,0,1,150
"2247","Nova Mutum",16,14,1,31,150
"2248","Nova Olimpia",2,1,0,3,150
"2249","Nova Santa Helena",4,0,0,4,150
"2250","Nova Ubirata",15,0,0,15,150
"2251","Nova Xavantina",1,0,0,1,150
"2252","Novo Mundo",12,0,0,12,150
"2253","Novo Santo Antonio",3,0,0,3,150
"2254","Paranaita",1,0,0,1,150
"2255","Pedra Preta",5,0,0,5,150
"2256","Peixoto de Azevedo",10,15,0,25,150
"2257","Pocone",0,3,0,3,150
"2258","Pontal do Araguaia",4,3,0,7,150
"2259","Ponte Branca",0,0,1,1,150
"2260","Pontes e Lacerda",20,7,1,28,150
"2261","Porto Alegre do Norte",1,1,0,2,150
"2262","Porto Esperidiao",2,0,0,2,150
"2263","Poxoreu",0,2,0,2,150
